iter	Passed	Remaining
471	751	840
472	752	838
473	754	836
474	755	835
475	757	833
476	758	832
477	761	831
478	762	829
479	764	828
480	766	827
481	767	825
482	769	823
483	771	822
484	773	821
485	775	820
486	777	819
487	779	817
488	781	816
489	782	814
490	784	813
491	786	811
492	787	810
493	789	809
494	792	808
495	794	806
496	795	805
497	797	803
498	798	802
499	801	801
500	803	800
501	805	798
502	807	797
503	809	796
504	810	794
505	811	792
506	813	790
507	814	789
508	816	787
509	817	785
510	818	783
511	820	782
512	822	780
513	823	779
514	825	777
515	827	776
516	828	774
517	830	772
518	831	770
519	832	768
520	834	766
521	836	765
522	837	764
523	839	762
524	840	760
525	842	759
526	844	757
527	846	756
528	847	754
529	848	752
530	850	751
531	852	749
532	854	748
533	855	746
534	856	744
535	858	743
536	860	741
537	861	739
538	862	738
539	864	736
540	865	734
541	867	733
542	869	731
543	870	729
544	872	728
545	874	727
546	876	725
547	877	723
548	878	722
549	880	720
550	882	719
551	884	717
552	885	716
553	887	714
554	888	712
555	890	711
556	891	709
557	893	707
558	894	705
559	896	704
560	898	702
561	899	701
562	901	699
563	902	697
564	904	696
565	906	694
566	907	693
567	908	691
568	910	689
569	911	687
570	914	686
571	915	684
572	916	683
573	918	681
574	920	680
575	921	678
576	923	676
577	924	675
578	926	673
579	928	672
580	930	671
581	932	669
582	934	668
583	936	667
584	938	665
585	939	663
586	941	662
587	943	660
588	945	659
589	946	657
590	948	656
591	950	654
592	952	653
593	954	652
594	955	650
595	957	648
596	959	647
597	961	646
598	963	644
599	964	643
600	966	641
601	968	640
602	969	638
603	970	636
604	972	634
605	974	633
606	975	631
607	977	630
608	978	628
609	980	626
610	982	625
611	984	623
612	985	622
613	986	620
614	988	618
615	990	617
616	991	615
617	993	613
618	994	612
619	995	610
620	997	608
621	998	606
622	999	604
623	1001	603
624	1003	602
625	1005	600
626	1007	599
627	1008	597
628	1009	595
629	1011	593
630	1012	591
631	1013	590
632	1014	588
633	1015	586
634	1017	584
