iter	RMSE
211	9746.803784
212	9742.243827
213	9734.25496
214	9729.817179
215	9726.500362
216	9720.92497
217	9717.319488
218	9713.007421
219	9709.199555
220	9705.495683
221	9701.831479
222	9699.281471
223	9696.686595
224	9693.521008
225	9691.985151
226	9689.992272
227	9686.988198
228	9684.871971
229	9682.148038
230	9679.852082
231	9677.499164
232	9673.1858
233	9671.128503
234	9667.864718
235	9662.618147
236	9660.719186
237	9655.620229
238	9652.171608
239	9649.164417
240	9643.574321
241	9642.266796
242	9640.293891
243	9635.783158
244	9633.903531
245	9630.652926
246	9624.509266
247	9619.378514
248	9616.982923
249	9614.71779
250	9611.457068
251	9607.604728
252	9605.841848
253	9601.375726
254	9599.203257
255	9596.49861
256	9594.203793
257	9590.767379
258	9588.02538
259	9581.84121
260	9578.56985
261	9572.335999
262	9569.068283
263	9566.559841
264	9564.124122
265	9560.272306
266	9557.366192
267	9554.019903
268	9551.954472
269	9549.892502
270	9547.760348
271	9544.854458
272	9542.442599
273	9539.152657
274	9535.817968
275	9533.981063
276	9531.240514
277	9528.922138
278	9527.01309
279	9521.559076
280	9517.570857
281	9515.488219
282	9514.152839
283	9511.029108
284	9509.026037
285	9506.801597
286	9502.033131
287	9499.408782
288	9495.967829
289	9493.653931
290	9488.747343
291	9485.528799
292	9482.544533
293	9480.062212
294	9476.227354
295	9473.725346
296	9469.414708
297	9465.296472
298	9460.897805
299	9456.011855
300	9452.788556
301	9450.976753
302	9447.697398
303	9445.231353
304	9441.934838
305	9439.425756
306	9437.267837
307	9433.535758
308	9431.218224
309	9428.897485
310	9426.210028
311	9423.880668
312	9419.691899
313	9416.574263
314	9415.023369
315	9413.202233
316	9409.83778
317	9405.993
318	9402.860479
319	9400.453351
320	9398.278306
321	9394.077014
322	9391.108416
323	9387.47918
324	9384.911043
325	9380.044809
326	9378.460696
327	9373.901911
328	9370.659891
329	9366.918647
330	9364.262402
331	9361.236887
332	9356.493685
333	9352.995482
334	9348.641431
335	9346.536021
336	9342.19284
337	9340.579183
338	9338.156749
339	9333.114846
340	9330.255375
341	9325.499427
342	9322.47986
343	9320.463824
344	9317.799637
345	9314.821296
346	9310.121037
347	9307.114024
348	9304.94724
349	9302.56124
350	9299.209354
351	9296.748594
352	9294.226842
353	9291.312576
354	9288.511511
355	9286.905212
356	9285.503141
357	9282.940029
358	9280.645272
359	9275.683871
360	9273.017507
361	9271.006307
362	9267.471695
363	9265.194429
364	9261.693447
365	9258.830449
366	9256.065155
367	9253.98658
368	9250.332237
369	9248.448164
370	9247.007754
371	9244.755618
372	9243.536193
373	9241.778588
374	9239.249963
375	9237.753074
376	9235.729311
377	9233.884773
378	9229.789952
379	9226.737051
380	9224.728137
381	9220.804068
382	9218.3404
383	9216.266511
384	9215.322477
385	9213.700468
386	9211.401904
387	9207.401742
388	9205.341749
389	9202.657478
390	9200.654431
391	9196.6717
392	9194.781357
393	9192.494502
394	9190.516947
395	9185.989101
396	9182.026466
397	9180.500892
398	9176.221434
399	9174.317017
400	9172.245463
401	9170.785751
402	9169.235778
403	9164.522033
404	9160.444542
405	9158.119602
406	9152.679859
407	9149.66917
408	9146.769755
409	9144.079623
410	9140.181625
411	9137.927561
412	9134.081644
413	9132.064544
414	9130.948617
415	9126.550995
416	9122.968615
417	9118.02446
418	9113.893034
419	9111.797984
420	9108.532549
421	9104.613543
422	9102.061761
423	9100.389915
424	9097.812946
425	9095.526176
426	9091.359501
427	9088.684187
428	9087.17956
429	9083.956017
430	9080.31809
431	9077.884096
432	9073.141874
433	9070.30734
434	9069.060944
435	9063.793188
436	9061.51697
437	9060.600291
438	9056.986611
439	9054.070456
440	9052.494178
441	9051.314087
442	9049.461378
443	9046.902375
444	9045.261092
445	9043.988582
446	9041.528007
447	9039.039311
448	9036.589298
449	9034.254298
450	9033.318146
451	9029.274648
452	9026.269013
453	9022.941586
454	9021.136495
455	9019.204507
456	9016.503373
457	9015.046001
458	9011.097907
459	9009.100326
460	9007.441677
461	9003.396901
462	9000.887422
463	8998.667499
464	8996.927292
465	8992.682504
466	8990.411937
467	8986.705055
468	8984.082846
469	8979.73659
470	8978.504315
471	8976.518344
472	8974.753243
473	8972.652702
474	8970.139656
475	8968.002195
476	8964.222325
477	8960.276038
478	8958.276958
479	8955.79065
480	8954.939093
481	8952.226976
482	8948.124979
483	8945.804716
484	8942.099958
485	8940.083037
486	8938.225851
487	8935.140171
488	8934.185092
489	8931.398117
490	8927.059856
491	8925.256804
492	8924.053674
493	8922.236478
494	8920.346533
495	8918.541507
496	8916.701435
497	8915.316957
498	8912.665271
499	8908.397065
500	8907.263109
501	8904.278236
502	8898.954222
503	8895.416029
504	8892.620781
505	8890.053993
506	8887.422372
507	8885.244535
508	8882.385848
509	8879.895791
510	8877.257457
511	8875.384898
512	8874.38565
513	8873.243205
514	8871.802332
515	8869.748243
516	8867.094459
517	8865.251109
518	8861.582517
519	8858.406955
520	8857.316772
521	8854.725015
522	8852.516329
523	8851.191947
524	8848.7133
525	8846.676476
526	8843.627632
527	8841.945712
528	8839.48855
529	8836.57991
530	8835.427144
531	8833.879973
532	8829.474507
533	8823.868935
534	8821.959933
535	8819.642853
536	8817.130019
537	8815.533363
538	8813.001775
539	8811.672559
540	8810.432079
541	8808.550963
542	8807.549403
543	8805.118819
544	8802.649275
545	8801.034914
546	8798.890321
547	8796.623936
548	8795.071056
549	8792.771866
550	8790.926671
551	8788.469446
552	8786.62604
553	8786.146143
554	8783.146711
555	8781.112085
556	8778.046998
557	8773.382093
558	8769.876227
559	8768.608398
560	8766.532091
561	8762.878388
562	8761.691712
563	8759.736747
564	8757.663432
565	8755.472505
566	8752.676951
567	8750.62177
568	8747.081377
569	8742.608603
570	8737.26298
571	8736.494727
572	8735.717892
573	8734.38945
574	8732.868678
575	8730.264594
576	8728.386718
577	8726.912795
578	8724.887465
579	8722.682567
580	8721.043269
581	8716.334726
582	8713.978513
583	8712.136574
584	8710.371467
585	8709.14418
586	8706.083006
587	8703.207595
588	8701.512635
589	8699.50894
590	8697.704692
591	8696.068883
592	8695.129068
593	8691.847107
594	8690.714463
595	8688.918455
596	8686.24159
597	8683.712708
598	8680.099438
599	8676.726131
600	8675.563694
601	8673.117632
602	8670.897797
603	8668.117958
604	8666.031659
605	8662.329486
606	8661.114304
607	8659.747477
608	8656.480251
609	8654.539406
610	8650.168176
611	8647.97473
612	8646.416575
613	8645.716206
614	8644.532514
615	8642.935475
616	8640.834704
617	8638.147375
618	8635.648328
619	8633.64389
620	8630.704555
621	8626.667132
622	8625.265839
623	8624.214864
624	8622.199558
625	8619.933775
626	8618.474455
627	8617.074555
628	8615.537394
629	8613.237657
630	8611.096778
631	8609.951489
632	8605.331405
633	8601.920987
634	8598.776858
635	8597.11809
636	8593.038924
637	8592.08316
638	8588.970599
639	8584.337713
640	8582.550159
641	8580.660806
642	8578.572281
643	8576.453574
644	8573.781587
645	8570.031503
646	8568.298793
647	8565.163777
648	8561.38111
649	8557.751696
650	8555.164272
651	8554.050406
652	8552.631813
653	8550.650297
654	8548.427697
655	8546.951547
656	8545.022989
657	8542.160079
658	8539.288786
659	8536.320809
660	8535.363895
661	8533.187597
662	8531.360617
663	8529.839804
664	8527.933431
665	8526.202963
666	8523.651904
667	8522.039854
668	8520.054328
669	8515.678003
670	8513.14954
671	8510.889172
672	8508.58477
673	8507.037962
674	8504.077459
675	8501.23693
676	8498.70234
677	8495.081851
678	8493.431209
679	8491.691477
680	8490.659683
681	8488.137597
682	8485.764275
683	8482.727773
684	8480.954605
685	8478.069459
686	8476.868128
687	8474.893063
688	8472.138234
689	8469.587753
690	8467.285715
691	8465.074078
692	8461.634767
693	8459.385555
694	8456.674221
695	8454.325393
696	8451.952481
697	8449.743289
698	8447.429461
699	8445.042547
700	8442.565045
701	8440.783698
702	8438.167435
703	8435.925874
704	8433.262547
705	8431.056065
706	8428.233672
707	8426.454682
708	8424.338331
709	8421.807817
710	8419.829366
711	8417.250156
712	8414.652351
713	8412.743449
714	8411.477612
715	8410.218722
716	8408.840551
717	8408.033862
718	8404.703832
719	8402.361145
720	8399.549771
721	8395.911762
722	8393.608937
723	8391.686206
724	8390.137041
725	8389.113012
726	8387.212626
727	8385.395083
728	8384.505209
729	8381.656836
730	8377.732111
731	8376.097621
732	8372.936084
733	8370.147944
734	8367.054638
735	8364.629707
736	8363.516571
737	8360.585556
738	8358.414037
739	8356.215372
740	8355.199724
741	8351.737166
742	8348.682825
743	8347.369807
744	8345.018451
745	8343.783162
746	8342.526003
747	8341.500874
748	8340.23611
749	8337.016869
750	8335.594715
751	8333.183837
752	8329.98119
753	8327.309467
754	8324.797498
755	8322.608361
756	8321.19773
757	8318.776626
758	8317.626099
759	8316.111739
760	8315.189574
761	8314.065332
762	8311.911194
763	8310.301349
764	8307.306432
765	8304.228633
766	8301.220442
767	8299.383833
768	8296.467843
769	8293.254907
770	8290.722389
771	8289.104504
772	8285.041919
773	8284.301463
774	8282.914467
775	8282.028031
776	8279.866956
777	8277.351822
778	8275.895215
779	8272.982809
780	8271.121056
781	8270.29195
782	8267.5305
783	8264.176047
784	8262.653913
785	8261.121941
786	8258.481036
787	8257.177503
788	8254.584479
789	8250.917905
790	8249.246764
791	8246.575408
792	8245.628798
793	8244.067587
794	8241.395112
795	8238.719077
796	8236.23327
797	8234.95521
798	8233.893454
799	8231.876407
800	8230.050596
801	8228.693078
802	8225.862774
803	8223.210113
804	8220.782613
805	8219.617242
806	8215.086736
807	8213.443186
808	8211.299911
809	8209.705201
810	8208.573266
811	8205.403218
812	8203.665005
813	8200.558541
814	8197.546077
815	8195.146503
816	8191.634774
817	8190.516371
818	8187.559562
819	8184.923543
820	8181.69695
821	8180.05302
822	8177.346748
823	8175.597122
824	8173.311527
825	8171.01132
826	8168.72004
827	8167.608469
828	8164.564427
829	8161.356767
830	8159.959513
831	8157.488798
832	8155.511486
833	8154.009793
834	8152.038972
835	8148.744509
836	8146.825891
837	8144.800565
838	8142.709403
839	8141.154096
840	8136.961516
841	8134.51601
842	8133.669763
843	8131.583761
844	8130.580777
845	8126.741395
846	8124.057238
847	8121.208065
848	8118.905891
849	8116.554236
850	8114.589566
851	8113.232895
852	8110.859279
853	8108.453626
854	8107.411278
855	8105.235854
856	8102.167362
857	8100.646719
858	8099.058425
859	8097.223121
860	8095.526935
861	8094.572545
862	8092.683428
863	8090.008661
864	8089.226708
865	8085.924579
866	8082.492836
867	8080.119454
868	8077.179101
869	8076.461055
870	8073.689496
871	8072.2862
872	8071.146989
873	8069.423696
874	8067.723364
875	8065.826582
876	8062.598509
877	8059.998612
878	8057.717228
879	8055.714782
880	8054.223935
881	8051.593797
882	8049.158838
883	8046.359549
884	8043.891284
885	8043.464363
886	8042.070412
887	8039.913168
888	8036.144912
889	8034.247138
890	8033.340448
891	8031.09178
892	8030.758519
893	8029.835347
894	8029.105072
895	8027.509648
896	8025.034211
897	8023.231256
898	8021.792331
899	8020.845702
900	8018.907811
901	8016.667954
902	8014.406227
903	8013.106828
904	8010.687139
905	8009.716467
906	8008.376823
907	8008.131592
908	8006.192669
909	8005.160538
910	8003.383695
911	8000.362019
912	7998.741401
913	7997.957757
914	7996.087728
915	7994.458444
916	7993.355607
917	7991.688789
918	7990.149288
919	7988.172872
920	7987.130238
921	7986.17789
922	7985.114541
923	7981.168902
924	7979.626664
925	7978.222713
926	7974.744627
927	7972.868819
928	7970.852952
929	7969.633158
930	7966.489977
931	7964.710937
932	7962.589085
933	7960.528597
934	7958.173543
935	7956.975914
936	7955.324014
937	7954.196321
938	7953.409729
939	7950.844256
940	7949.809775
941	7948.288549
942	7947.362872
943	7945.495803
944	7943.696734
945	7940.565625
946	7938.972616
947	7936.709509
948	7934.192419
949	7932.917483
950	7930.244578
951	7928.674814
952	7927.647766
953	7924.4654
954	7923.390928
955	7921.072648
956	7917.310915
957	7916.009623
958	7914.882774
959	7913.250216
960	7911.269021
961	7909.16559
962	7906.889181
963	7905.733723
964	7905.163683
965	7904.00363
966	7901.641285
967	7899.301959
968	7898.363883
969	7897.767809
970	7895.830464
971	7894.209043
972	7893.402019
973	7892.844564
974	7891.642705
975	7888.787137
976	7885.879054
977	7884.170633
978	7881.855574
979	7880.242673
980	7879.351559
981	7878.195347
982	7875.540629
983	7874.263021
984	7872.457954
985	7869.584602
986	7869.203526
987	7868.593948
988	7866.279063
989	7863.60613
990	7860.668188
991	7859.160194
992	7857.508329
993	7855.253335
994	7854.164666
995	7853.179519
996	7850.644681
997	7848.099639
998	7846.40523
999	7844.671104
